blind_candidate_id,system_id,source_path,source_index
blind-0001,direct,data\gaps\baseline_simple_llm.json,44
blind-0002,direct,data\gaps\baseline_simple_llm.json,268
blind-0003,direct,data\gaps\baseline_simple_llm.json,22
blind-0004,direct,data\gaps\baseline_simple_llm.json,114
blind-0005,direct,data\gaps\baseline_simple_llm.json,57
blind-0006,direct,data\gaps\baseline_simple_llm.json,168
blind-0007,direct,data\gaps\baseline_simple_llm.json,262
blind-0008,direct,data\gaps\baseline_simple_llm.json,216
blind-0009,direct,data\gaps\baseline_simple_llm.json,141
blind-0010,direct,data\gaps\baseline_simple_llm.json,20
blind-0011,direct,data\gaps\baseline_simple_llm.json,63
blind-0012,direct,data\gaps\baseline_simple_llm.json,3
blind-0013,direct,data\gaps\baseline_simple_llm.json,265
blind-0014,direct,data\gaps\baseline_simple_llm.json,23
blind-0015,direct,data\gaps\baseline_simple_llm.json,83
blind-0016,direct,data\gaps\baseline_simple_llm.json,56
blind-0017,direct,data\gaps\baseline_simple_llm.json,209
blind-0018,direct,data\gaps\baseline_simple_llm.json,80
blind-0019,direct,data\gaps\baseline_simple_llm.json,94
blind-0020,direct,data\gaps\baseline_simple_llm.json,50
blind-0021,direct,data\gaps\baseline_simple_llm.json,234
blind-0022,direct,data\gaps\baseline_simple_llm.json,36
blind-0023,direct,data\gaps\baseline_simple_llm.json,1
blind-0024,direct,data\gaps\baseline_simple_llm.json,287
blind-0025,kgtabi,data\gaps\kgtabi_gaps.json,1
blind-0026,direct,data\gaps\baseline_simple_llm.json,230
blind-0027,direct,data\gaps\baseline_simple_llm.json,61
blind-0028,direct,data\gaps\baseline_simple_llm.json,32
blind-0029,direct,data\gaps\baseline_simple_llm.json,229
blind-0030,kgtabi,data\gaps\kgtabi_gaps.json,7
blind-0031,direct,data\gaps\baseline_simple_llm.json,14
blind-0032,direct,data\gaps\baseline_simple_llm.json,197
blind-0033,kgtabi,data\gaps\kgtabi_gaps.json,9
blind-0034,kgtabi,data\gaps\kgtabi_gaps.json,4
blind-0035,direct,data\gaps\baseline_simple_llm.json,279
blind-0036,direct,data\gaps\baseline_simple_llm.json,245
blind-0037,direct,data\gaps\baseline_simple_llm.json,105
blind-0038,direct,data\gaps\baseline_simple_llm.json,235
blind-0039,direct,data\gaps\baseline_simple_llm.json,199
blind-0040,direct,data\gaps\baseline_simple_llm.json,192
blind-0041,direct,data\gaps\baseline_simple_llm.json,179
blind-0042,direct,data\gaps\baseline_simple_llm.json,221
blind-0043,direct,data\gaps\baseline_simple_llm.json,264
blind-0044,direct,data\gaps\baseline_simple_llm.json,191
blind-0045,direct,data\gaps\baseline_simple_llm.json,64
blind-0046,direct,data\gaps\baseline_simple_llm.json,231
blind-0047,direct,data\gaps\baseline_simple_llm.json,210
blind-0048,direct,data\gaps\baseline_simple_llm.json,193
blind-0049,direct,data\gaps\baseline_simple_llm.json,102
blind-0050,direct,data\gaps\baseline_simple_llm.json,266
blind-0051,direct,data\gaps\baseline_simple_llm.json,169
blind-0052,direct,data\gaps\baseline_simple_llm.json,53
blind-0053,direct,data\gaps\baseline_simple_llm.json,246
blind-0054,direct,data\gaps\baseline_simple_llm.json,84
blind-0055,direct,data\gaps\baseline_simple_llm.json,0
blind-0056,direct,data\gaps\baseline_simple_llm.json,144
blind-0057,direct,data\gaps\baseline_simple_llm.json,109
blind-0058,direct,data\gaps\baseline_simple_llm.json,211
blind-0059,direct,data\gaps\baseline_simple_llm.json,49
blind-0060,direct,data\gaps\baseline_simple_llm.json,129
blind-0061,direct,data\gaps\baseline_simple_llm.json,256
blind-0062,direct,data\gaps\baseline_simple_llm.json,198
blind-0063,direct,data\gaps\baseline_simple_llm.json,247
blind-0064,direct,data\gaps\baseline_simple_llm.json,10
blind-0065,direct,data\gaps\baseline_simple_llm.json,290
blind-0066,direct,data\gaps\baseline_simple_llm.json,195
blind-0067,direct,data\gaps\baseline_simple_llm.json,289
blind-0068,direct,data\gaps\baseline_simple_llm.json,132
blind-0069,direct,data\gaps\baseline_simple_llm.json,98
blind-0070,direct,data\gaps\baseline_simple_llm.json,278
blind-0071,direct,data\gaps\baseline_simple_llm.json,26
blind-0072,direct,data\gaps\baseline_simple_llm.json,271
blind-0073,direct,data\gaps\baseline_simple_llm.json,147
blind-0074,direct,data\gaps\baseline_simple_llm.json,148
blind-0075,direct,data\gaps\baseline_simple_llm.json,223
blind-0076,direct,data\gaps\baseline_simple_llm.json,90
blind-0077,direct,data\gaps\baseline_simple_llm.json,201
blind-0078,direct,data\gaps\baseline_simple_llm.json,124
blind-0079,direct,data\gaps\baseline_simple_llm.json,259
blind-0080,direct,data\gaps\baseline_simple_llm.json,203
blind-0081,direct,data\gaps\baseline_simple_llm.json,6
blind-0082,direct,data\gaps\baseline_simple_llm.json,108
blind-0083,direct,data\gaps\baseline_simple_llm.json,97
blind-0084,direct,data\gaps\baseline_simple_llm.json,243
blind-0085,direct,data\gaps\baseline_simple_llm.json,38
blind-0086,direct,data\gaps\baseline_simple_llm.json,93
