item_id,title,abstract,publication_year,reviewer_1_decision,reviewer_2_decision,adjudicated_decision,exclusion_reason,comments
screen-001,Analysis of Computational Resource Consumption of an Intrusion Detection System Based on Containerized Network Functions Virtualization,"The rapid expansion of global telecommunications networks has driven a continuous increase in Internet adoption, requiring telecom companies to deploy scalable services efficiently to accommodate new users. At the same time, the constant pursuit of cost reduction and improved service delivery has highlighted the need to enhance network function performance. Network Function Virtualization (NFV) addresses these demands by replacing costly, dedicated hardware with virtualized network functions running on virtual machines or containers. This approach enables better resource allocation, scalability, and cost reduction. While traditional virtualization methods can be slow and resource-intensive, container-based solutions, such as those offered by Docker, provide a more lightweight and efficient alternative. By reducing virtualization overhead through kernel sharing, containers significantly streamline the deployment and scalability of NFV-based services. Alongside this evolution, the expansion of online services has brought a surge in cybersecurity threats, highlighting the urgent need for Intrusion Detection Systems (IDS) capable of monitoring traffic patterns and detecting malicious activity in real time. This paper presents a modular testbed framework for NFV-based IDS evaluation, deploying Snort in Docker containers and comparing computational resource consumption against a traditional virtual machine (VM) implementation. The framework enables dynamic instantiation, scalability, and efficient orchestration of IDS components, providing a practical environment to study how different virtualization strategies impact system performance. Specifically, our study i) evaluates the performance of the NFV-IDS running on both a VM and a Docker container, and ii) tests NFV-IDS alongside an Nginx web server under cyberattack. The results provide insights into the viability of containerized NFV for IDS deployment, particularly in environments that demand lightweight, dynamic, and resource-efficient security infrastructures. Furthermore, the framework provides a foundation for future experiments incorporating alternative detection engines, traffic profiles, or virtualization strategies.",2025,,,,,
screen-002,Contextual Retrieval-Augmented Generation: A Serverless Architecture Using AWS Kendra and Claude,"Retrieval-Augmented Generation frameworks represent a transformative paradigm in enterprise information systems, combining intelligent document retrieval with advanced language model capabilities to deliver contextually relevant responses to complex queries. This technical contribution presents a comprehensive serverless architecture that integrates cloud-based intelligent search services with external language model APIs through managed compute orchestration and gateway services. The implementation leverages microservices-oriented design principles to create a fully managed, scalable solution for enterprise knowledge management that automatically adjusts to varying workloads without traditional infrastructure management overhead. The architecture comprises four primary layers: API gateway management for request handling, elastic compute orchestration, intelligent document retrieval with semantic understanding capabilities, and external language model integration for contextual generation. Performance evaluation demonstrates robust scalability characteristics supporting enterprise-scale deployments with consistent response quality across various document types including technical documentation, policy documents, and knowledge base interactions. The system demonstrates improved contextual relevance scoring through sophisticated semantic understanding algorithms and comprehensive uptime reliability. The implementation includes robust security systems, industry standard encryption and fine grain access controls, as well as audit logging for enterprise compliant obligations.",2025,,,,,
screen-003,A Flexible and Robust Framework for Intrusion Detection in DER Cyber-Physical Security,"The rapid integration of distributed energy resources (DERs) into modern power systems has revolutionized energy generation and distribution, giving rise to a highly dynamic and interconnected cyber-physical ecosystem. However, this evolution has also expanded the attack surface, making DERs increasingly vulnerable to sophisticated cyber-physical threats. Traditional intrusion detection systems (IDSs) primarily focus on algorithmic performance, often neglecting the architectural flexibility required to address the heterogeneity and flexibility demands of DER environments. This work proposes a flexible and robust intrusion detection framework specifically tailored for DER cyber-physical security. The framework integrates both cyber and physical data streams, enabling comprehensive anomaly detection and enhanced situational awareness. It adopts a defense-in-depth strategy to strengthen resilience and employs a microservices-based design using open-source tools to ensure flexibility and ease of integration with existing energy infrastructure. The proposed framework is deployed on a Raspberry Pi and validated in a microgrid lab environment. Evaluation results demonstrate its effectiveness in identifying diverse cyber-physical attack scenarios, while highlighting the benefits of architectural adaptability and operational robustness.",2025,,,,,
screen-004,Security Policy Orchestration in SDN–Microservices Environments,"Securing SDN-microservices environments requires a coherent orchestration of identity, authentication, and authorization policies. This paper proposes an architecture integrating FreeIPA for centralized identity management, Keycloak for federated authentication using OAuth2/OIDC, Open Policy Agent for declarative policy-as-code authorization, and VXLAN for multitenant network segmentation. The proposed approach ensures end-to-end, multi-layer governance, ranging from applicationlevel access control to the orchestration of the SDN control plane via RESTCONF. Experimental validation in a distributed environment demonstrates the effective integration of federated authentication, dynamic policy evaluation based on JWT claims, and network isolation with 0% inter-tenant leakage. The results confirm the feasibility of secure orchestration aligned with Zero Trust principles, providing a modular and extensible solution for cloud-native SDN-microservices infrastructures.",2026,,,,,
screen-005,Implementing Zero Trust Security in Multi-Cloud Microservices Platforms: A Review and Architectural Framework,"The widespread adoption of multi-cloud infrastructures and microservices architectures has redefined enterprise computing by enhancing scalability, modularity, and service delivery. However, this decentralization has also introduced expanded threat surfaces and complex security challenges that traditional perimeter-based models can no longer address effectively. This paper presents a comprehensive review and a proposed architectural framework for implementing Zero Trust Security (ZTS) in multi-cloud microservices environments. Beginning with a synthesis of existing literature and industry best practices, the study identifies critical vulnerabilities and limitations in current security approaches. It then explores the foundational principles of Zero Trust—including least privilege, continuous verification, and identity-centric access control—and how they apply within distributed cloud-native systems. The proposed framework incorporates core security components such as identity and access management, centralized policy engines, micro-segmentation, and service mesh integration to enable fine-grained, context-aware access enforcement. Designed for cloud-agnostic compatibility, the architecture facilitates secure workload mobility and dynamic service discovery across heterogeneous environments. Practical considerations, including performance impact, interoperability challenges, and governance implications, are also discussed. Although the framework offers a strategic path toward resilient multi-cloud security, it acknowledges limitations in empirical validation and implementation variability. The paper concludes by recommending future research directions in adaptive trust scoring, AI-driven policy enforcement, and Zero Trust extensions to edge-cloud systems, thus contributing to the ongoing evolution of secure cloud-native computing.",2024,,,,,
screen-006,Learning-Based Intrusion Detection Systems for In-Vehicle CAN Networks: A Comprehensive Survey with Deployment and Real-Time Considerations,"The Controller Area Network (CAN) bus continues to serve as the core communication backbone of modern vehicles. However, its original design did not incorporate fundamental security mechanisms, leaving in-vehicle networks vulnerable to cyberattacks such as spoofing, replay, message injection, and denial-of-service. As a result, Intrusion Detection Systems (IDSs) have become an essential component of automotive cybersecurity, providing continuous monitoring of CAN traffic to identify malicious behavior. In recent years, researchers have increasingly turned to intelligent IDS solutions based on Machine Learning (ML), Deep Learning (DL), and hybrid learning approaches to enhance detection capability. Although many of these studies report impressive detection accuracy, their evaluation practices often vary significantly, and claims related to real-time performance or lightweight deployment are frequently made without sufficient practical validation. This survey provides a structured, deployment-focused review of learning-based IDSs for CAN bus security published between 2019 and 2025. Building on prior surveys that emphasize detection accuracy and high-level method categorization, this work evaluates IDS approaches from a practical perspective by considering detection performance alongside computational efficiency, real-time feasibility, and deployment readiness in resource-constrained automotive environments. ML-based, DL-based, and hybrid IDS approaches are organized within a unified taxonomy and systematically compared across model architectures, attack scenarios, datasets, real-time feasibility, lightweight design claims, and validation strategies. A key contribution of this survey is the introduction of explicit and consistent criteria for labeling IDSs as lightweight, real-time, or deployable, based only on substantiated evidence such as ECU-oriented runtime analysis, embedded evaluation, or real-vehicle experimentation. Through a set of unified comparative tables, the survey highlights common evaluation gaps, and mismatches between reported performance and practical feasibility.",2026,,,,,
screen-007,Autonomous Cloud Security Hardening using Generative AI and Reinforcement Learning in Zero Trust Architectures,"Cloud environments get much more complex, the traditional security model is no longer equipped to handle such attacks. ZTA or zero trust architecture is often referred to as a security model for the mind, assuming that any and every system cannot be trusted. However, traditional ZTA implementations tend to be rather stable. This study proposes a framework that can develop a self-directed automated cloud security system through Zero Trust Architecture (ZTA), using Generative Artificial Intelligence (GenAI) and Reinforcement Learning (RL). The system automatically responds to attacks by observing the behavior of the sub-systems. After observing it response, it can update and modify the attack policy in a real time. With GenAI to formulate the policies, and Reinforcement Learning (RL) for decision making through feedback, this system strengthens security posture, improves threat detection and enforces Zero Trust compliance. The system can respond to new threats and vulnerabilities. This makes the cloud infrastructures more resilient. The first assessment revealed that the proposed system is better than existing models in terms of flexibility, efficiency, and protection against cyber threats.",2026,,,,,
screen-008,Security strategies for microservices-based application systems,"Microservices architecture is increasingly being used to develop application systems since its smaller codebase facilitates faster code development, testing, and deployment as well as optimization of the platform based on the type of microservice, support for independent development teams, and the ability to scale each component independently. Microservices generally communicate with each other using Application Programming Interfaces (APIs), which requires several core features to support complex interactions between a substantial number of components. These core features include authentication and access management, service discovery, secure communication protocols, security monitoring, availability/resiliency improvement techniques (e.g., circuit breakers), load balancing and throttling, integrity assurance techniques during induction of new services, and handling of session persistence. Additionally, the core features could be bundled or packaged into architectural frameworks such as API gateways and service mesh. The purpose of this document is to analyze the multiple implementation options available for each individual core feature and configuration options in architectural frameworks, develop security strategies that counter threats specific to microservices, and enhance the overall security profile of the microservices-based application.",2019,,,,,
screen-009,A Few to Unveil Them All: Leveraging Mixture of Experts on Minimal Data for Detecting Covert Channels in Containerized Cloud Infrastructures,"Containers are fundamental to pursue the vision of cloud-native applications and implement frameworks taking advantage of the microservice paradigm. Owing to their rapid diffusion, understanding the security posture of containerized deployments is of prime importance. An aspect largely neglected concerns network covert channels, which can be used to implement advanced persistent threats or ex-filtrate sensitive data. Unfortunately, revealing the presence of parasitic information hidden in network traffic is a hard task often clashing with privacy, performance and scalability constraints. Therefore, this paper proposes to use a mixture of experts, i.e., deep neural models trained on local datasets that are combined to enhance the overall detection capabilities. Results obtained by considering covert communications targeting the TTL field of IPv4 traffic collected in realistic settings demonstrated the effectiveness of our approach.",2024,,,,,
screen-010,Generative AI Integration Patterns in Enterprise Microservices Ecosystems,"ABSTRACT: In the given paper, the authors provide a detailed architectural vision of how to integrate generative AI
capabilities, especially the large language models (LLMs), into the enterprise microservices ecosystem, and how to
overcome such significant issues as latency, cost optimization, security, and operational governance. The study presents
new integration patterns across multiple architectural layers: (1) intelligent patterns of API gateway with semantic
routing, batching of requests, and adaptive patterns of timeouts which reduce the cost of an LLM invocation by 45
percent by caching responses promptly and streaming responses; (2) service mesh integration patterns by using sidecar
proxies to support distributed tracing, circuit breaking, and A/B testing of competing AI models with real-time
performance measurements; (3) event-driven orchestration patterns with asynchronous message queues and event
sourcing to decouple the The architecture includes security limits in a fine-grained access control, prompt injection
detection, content filtering layer, and data residency compliance to controlled industries. There are also advanced
optimization methods, such as quantization of model, resource pooling in the GPUs, caching inference in
Redis/Memcached and smart routing of requests between cloud and on-premises AI services due to classification of
sensitivity of data. The framework uses the observability patterns of distributed tracing (OpenTelemetry), monitoring
the usage of tokens, cost per microservice, and AI-friendly SLO tracking. The performance standards can be shown to
be horizontally scalable to 100,000 or more requests with predictable cost scaling to concurrent AI requests by using
spot instances and reservation capacity planning. The suggested patterns allow enterprises to implement generative AI
in microservices architectures offering an enterprise-grade reliability, security posture, and control over costs, and give
practitioners production-ready reference implementations of the integration of LLM, lifecycle management of models,
and design of AI-native services.",2024,,,,,
