legacy_triple_index,subject,relation,object,publication_year,evidence_quote,provenance_recovery_status,paper_id,chunk_index,source_title,source_modality,sentence_offset,model_name,prompt_version
0,Microservices Architecture,EXTENDS,Monolithic Architecture,2021,Microservices Architecture is amateur evolution of the Monolithic Architecture.,unique_normalized_exact_quote_match,e9f78cc559511112b8b41cacd28f7476f217802d,0,Security in Microservices Architectures,abstract,,,
1,Microservices Architecture,USES,container-based deployment,2021,Microservices Architecture is intrinsically connected as a symbiosis with container-based deployment,unique_normalized_exact_quote_match,e9f78cc559511112b8b41cacd28f7476f217802d,0,Security in Microservices Architectures,abstract,,,
2,Microservices Architecture,USES,containers,2021,containers are viewed as a natural compute platform for this architecture,unique_normalized_exact_quote_match,e9f78cc559511112b8b41cacd28f7476f217802d,0,Security in Microservices Architectures,abstract,,,
3,multivocal review,APPLIED_TO,securing microservices,2021,"To capture the state of the art and practice in securing microservices, we conducted a multivocal review of the existing white and grey literature on the topic.",unique_normalized_exact_quote_match,40fda014e97c5ff3bfe5a3a55766b79d17cd42c8,0,Smells and Refactorings for Microservices Security: A Multivocal Literature Review,abstract,,,
4,multivocal review,USES,white and grey literature,2021,we conducted a multivocal review of the existing white and grey literature on the topic.,unique_normalized_exact_quote_match,40fda014e97c5ff3bfe5a3a55766b79d17cd42c8,0,Smells and Refactorings for Microservices Security: A Multivocal Literature Review,abstract,,,
5,multivocal review,PRODUCES,ten bad smells for securing microservices,2021,"Ten bad smells for securing microservices are identified, which we organized in a taxonomy",unique_normalized_exact_quote_match,40fda014e97c5ff3bfe5a3a55766b79d17cd42c8,0,Smells and Refactorings for Microservices Security: A Multivocal Literature Review,abstract,,,
6,refactoring,ADDRESSES,security smells,2021,refactorings enabling to mitigate the effects of such smells.,unique_normalized_exact_quote_match,40fda014e97c5ff3bfe5a3a55766b79d17cd42c8,0,Smells and Refactorings for Microservices Security: A Multivocal Literature Review,abstract,,,
7,Microservices architecture,USES,Application Programming Interfaces,2019,Microservices generally communicate with each other using Application Programming Interfaces (APIs),unique_normalized_exact_quote_match,fb3d52bcb2a1ca5b588ce01846d002c12edd713c,0,Security strategies for microservices-based application systems,abstract,,,
8,security strategies,ADDRESSES,threats specific to microservices,2019,develop security strategies that counter threats specific to microservices,unique_normalized_exact_quote_match,fb3d52bcb2a1ca5b588ce01846d002c12edd713c,0,Security strategies for microservices-based application systems,abstract,,,
9,security strategies,IMPROVES,security profile of the microservices-based application,2019,"develop security strategies that counter threats specific to microservices, and enhance the overall security profile of the microservices-based application",unique_normalized_exact_quote_match,fb3d52bcb2a1ca5b588ce01846d002c12edd713c,0,Security strategies for microservices-based application systems,abstract,,,
