item_id,entity_a,entity_b,entity_type,same_entity,related_but_distinct,unrelated,uncertain,reviewer_id,comments
entity-pair-001,anomaly detection in containerized applications,protecting containerized applications,CONCEPT,,,,,,
entity-pair-002,anomaly-based intrusion detection systems,Intrusion Detection Systems (IDS),METHOD,,,,,,
entity-pair-003,average detection time,detection coverage,METRIC,,,,,,
entity-pair-004,complex security challenges,growing security challenges,CONCEPT,,,,,,
entity-pair-005,JWT token authentication,strong authentication,METHOD,,,,,,
entity-pair-006,API-Gateway,gateway,TOOL,,,,,,
entity-pair-007,AI-based models,AI-driven models,METHOD,,,,,,
entity-pair-008,anomaly detection models,runtime anomaly detection,METHOD,,,,,,
entity-pair-009,authentication protocols,continuous authentication,METHOD,,,,,,
entity-pair-010,machine learning,machine learning models,METHOD,,,,,,
entity-pair-011,HTTP,HTTP/3,TOOL,,,,,,
entity-pair-012,Two-Factor Authentication,Two-Factor Authentication solutions,METHOD,,,,,,
entity-pair-013,threat modeling,threat modeling framework,METHOD,,,,,,
entity-pair-014,security attacks,security practices,CONCEPT,,,,,,
entity-pair-015,blockchain using microservices and smart contracts,Blockchain implementation within a Microservices framework,METHOD,,,,,,
entity-pair-016,zero-trust access,Zero Trust security model,CONCEPT,,,,,,
entity-pair-017,IoT applications,web applications,CONCEPT,,,,,,
entity-pair-018,detection rate,threat detection,METRIC,,,,,,
entity-pair-019,mean time to detection,average detection time,METRIC,,,,,,
entity-pair-020,microservices,microservices environments,CONCEPT,,,,,,
entity-pair-021,securing microservices,threats specific to microservices,CONCEPT,,,,,,
entity-pair-022,container security framework,Container security mechanisms,METHOD,,,,,,
entity-pair-023,blocking unauthorized access,minimizing unauthorized access,FINDING,,,,,,
entity-pair-024,access control,access controls,CONCEPT,,,,,,
entity-pair-025,Kubernetes,Kubernetes clusters,TOOL,,,,,,
entity-pair-026,microservice-based application,security of microservice applications,CONCEPT,,,,,,
entity-pair-027,resiliency of microservice-based applications,security profile of the microservices-based application,METRIC,,,,,,
entity-pair-028,JSON Web Token authentication,JWT token authentication,METHOD,,,,,,
entity-pair-029,Kubernetes based microservices,Kubernetes microservice ecosystem,CONCEPT,,,,,,
entity-pair-030,Kubernetes,Kubernetes cluster,TOOL,,,,,,
entity-pair-031,Algorithmic Complexity Attacks,algorithmic complexity attacks,CONCEPT,,,,,,
entity-pair-032,microservices,communication of microservices,CONCEPT,,,,,,
entity-pair-033,vulnerabilities,security vulnerabilities,CONCEPT,,,,,,
entity-pair-034,intrusion detection,Intrusion Detection,CONCEPT,,,,,,
entity-pair-035,cloud and container environments,cloud and container security,CONCEPT,,,,,,
entity-pair-036,cloud-native systems,modern cloud-native ecosystems,CONCEPT,,,,,,
