item_id,paper_id,stored_pilot_retained,recomputed_current_lexical_retained,architecture_terms_matched,security_terms_matched
screen-001,46d0f3065d02a9d69c9698a22c232dc08832501a,False,False,,security; attack; threat
screen-002,74abeaffe85d2a7f89a80f93bf8da2741b9add11,False,True,microservice,security; access control; encryption; policy
screen-003,c6a680c135bcc7d76d76413c721b15f83b646d7d,False,True,microservice,security; attack; threat
screen-004,22ace70b22f48955ed083a85771451d7a837b602,True,True,microservice; cloud-native,security; secure; authentication; authorization; access control; zero trust; identity; policy; oauth
screen-005,f473421518c9dff903386b4974536d7fd245e96d,True,True,microservice; service mesh; cloud-native,security; secure; access control; zero trust; threat; identity; policy
screen-006,8fb8951a8563754d2235d62d6276fc1aa1173faf,False,False,,security; attack
screen-007,1bdc6c7f8c9d4e6748eb8f4c0195554ae58c8849,False,False,,security; zero trust; attack; threat; policy
screen-008,fb3d52bcb2a1ca5b588ce01846d002c12edd713c,True,True,microservice; service mesh,security; secure; authentication; threat
screen-009,dea68588503b2b3762a7abf4262ddbd078f96b43,True,True,microservice; cloud-native,security; threat; privacy
screen-010,d67e166c3873c6719ebbbfff3e597bba486f1cdb,False,True,microservice; service mesh,security; access control
screen-011,59dc7f786a0499b739ac1323ba1eda7ac860c63e,True,True,microservice,security; secure; attack
screen-012,7d18e6e82ba8601c5411efa5ffd25de0eaae4163,False,False,,security; secure; access control; zero trust; attack; threat; policy
screen-013,5dbd353561fe47f98ac443412e7c77b9d57c3655,False,True,microservice,security; secure
screen-014,71e1ba4d904fab921437bb241a9b984a0cd3ba28,False,False,,security; secure; authentication; access control; attack; threat; identity
screen-015,7187c55d9a5a5166211cc7dae08bc3ba53aaa2f8,False,False,,security; attack
screen-016,9043a6160f52d2d40b39dab34a038f441d73cff0,True,False,,security; authentication; attack; threat
screen-017,50d048058fc35cf8ebb7efa41118a1c24d16b0a1,False,True,microservice,security; attack
screen-018,bd9057edb013ed528092265edacd555df05739ca,False,True,microservice; cloud-native,secure; access control
screen-019,fde3bcac0f784d774f5cb35219080dcf99bb83fa,False,False,,security; attack; threat
screen-020,7c8045a4b4f52b91db283c040afbb78c8a6ac7db,True,True,microservice; cloud-native,security
screen-021,71c3a66f30cf6ffb4a329d7702ff965b6591bb4c,False,False,,security; authentication; authorization; access control; attack; threat
screen-022,930cc9851200d442ba9ae11465f37d7203958950,False,False,,security; zero trust; threat
screen-023,7804cd2614b1bd597fe3a7adac63477d9b8b72f8,False,False,,security; authentication; zero trust; attack; identity
