item_id,legacy_triple_index,subject,subject_type,relation,object,object_type,publication_year,model_reported_extraction_score,evidence_quote,provenance_recovery_status,paper_id,chunk_index,source_title,source_modality,source_chunk_text,subject_correct,object_correct,relation_correct,entity_types_correct,evidence_quote_supports_triple,source_metadata_correct,triple_specific_enough,reviewer_id,comments
triple-001,362,SFTSDH,METHOD,IMPROVES,SF security,METHOD,2022,0.85,"we performed a qualitative comparison among the following security solutions: SF security, third-party security, and SFTSDH, where SFTSDH showed a promising outcome.",unique_normalized_exact_quote_match,22df84590b05ad2688bd961ef25158166b6b2048,0,SFTSDH: Applying Spring Security Framework With TSD-Based OAuth2 to Protect Microservice Architecture APIs,abstract,"The Internet of Medical Things (IoMT) combines medical devices and applications that use network technologies to connect healthcare information systems (HIS). IoMT is reforming the medical industry by adopting information and communication technologies (ICTs). Identity verification, secure collection, and exchange of medical data are essential in health applications. In this study, we implemented a hybrid security solution to secure the collection and management of personal health data using Spring Framework (SF), Services for Sensitive Data (TSD) as a service platform, and Hyper-Text-Transfer-Protocol (HTTP (H)) security methods. The adopted solution (SFTSDH = SF + TSD + H) instigated the following security features: identity brokering, OAuth2, multifactor authentication, and access control to protect the Microservices Architecture Application Programming Interfaces (APIs), following the General Data Protection Regulation (GDPR). Moreover, we extended the adopted security solution to develop a digital infrastructure to facilitate the research and innovation work in the electronic health (eHealth) section, focusing on solution validation with theoretical evaluation and experimental testing. We used a web engineering security methodology to achieve and explain the adopted security solution. As a case study, we designed and implemented electronic coaching (eCoaching) prototype system and deployed the same in the developed infrastructure to securely record and share personal health data. Furthermore, we compared the test results with related studies qualitatively for the efficient evaluation of the implemented security solution. The SFTSDH implementation and configuration in the prototype system have effectively secured the eCoach APIs from an attack in all the considered scenarios. The eCoach prototype with the SFTSDH solution effectively sustained a load of (≈) 1000 concurrent users in the developed digital health infrastructure. In addition, we performed a qualitative comparison among the following security solutions: SF security, third-party security, and SFTSDH, where SFTSDH showed a promising outcome.",,,,,,,,,
triple-002,35,proposed method for access control,METHOD,IMPROVES,security of decentralized microservices,CONCEPT,2023,0.95,the proposed method enhanced the security of decentralized microservices,unique_normalized_exact_quote_match,c8a17e3b4d83d3b81fcda5c84b39fab34a06d481,0,Enhancing Microservices Security with Token-Based Access Control Method,abstract,"Microservices are compact, independent services that work together with other microservices to support a single application function. Organizations may quickly deliver high-quality applications using the effective design pattern of the application function. Microservices allow for the alteration of one service in an application without affecting the other services. Containers and serverless functions, two cloud-native technologies, are frequently used to create microservices applications. A distributed, multi-component program has a number of advantages, but it also introduces new security risks that are not present in more conventional monolithic applications. The objective is to propose a method for access control that ensures the enhanced security of microservices. The proposed method was experimentally tested and validated in comparison to the centralized and decentralized architectures of the microservices. The obtained results showed that the proposed method enhanced the security of decentralized microservices by distributing the access control responsibility across multiple microservices within the external authentication and internal authorization processes. This allows for easy management of permissions between microservices and can help prevent unauthorized access to sensitive data and resources, as well as reduce the risk of attacks on microservices.",,,,,,,,,
triple-003,616,DTOs (Data Transfer Objects),METHOD,IMPROVES,data exchange between components,CONCEPT,2024,0.85,"The integration of microservices is achieved through the implementation of DTOs (Data Transfer Objects) and API gateways, which ensures smooth data exchange between components.",unique_normalized_exact_quote_match,39acaaaf4129b1870396b3bcda609c74c034292f,0,SOFTWARE MIGRATION FROM MONOLITHIC ARCHITECTURE TO MICROSERVICES ARCHITECTURE AS A WAY OF PROTECTING CRM SYSTEMS,abstract,"The study of this work was focused on the process of protecting CRM systems in the conditions of the transition of software, which is the main part of CRM systems from a monolithic architecture to an architecture based on microservices. This article explores a migration strategy using the Strangler Fig pattern that facilitates the incremental adoption of microservices while maintaining compatibility with the existing monolith. A key aspect of a migration strategy is choosing a framework, such as the Framework for Microservices Migrations (FMM), that standardizes development practices and helps decompose monoliths into manageable components. Communication between microservices and the monolith is facilitated through a REST API that ensures seamless interaction. The integration of microservices is achieved through the implementation of DTOs (Data Transfer Objects) and API gateways, which ensures smooth data exchange between components. The article emphasizes the importance of dependency and configuration management in microservices, emphasizing the need for encapsulation and autonomy. In addition, the research examines the use of Curcuit Breaker patterns to effectively handle failures and maintain system stability during the migration process. Microservices, implemented as APIs, demand robust authentication methods such as cryptographic API keys and tokens. Security Assertion Markup Language (SAML) or OpenID with OAuth 2.0 are suggested solutions to enhance data security. Centralized architecture for authorization policies is crucial to regulate access across all microservices, while standardized token-based authentication ensures platform-neutral interoperability. However, decentralized authorization enforcement at each microservice entry point may lead to inconsistent security policies. Moreover, access to APIs handling confidential data necessitates authentication tokens with digital signatures or from trusted sources. Access control policies should be meticulously defined and enforced, with considerations for token expiration and scope limitations. The abstract underscores the significance of centralized access management and the challenges posed by anonymous connections bypassing API gateways.",,,,,,,,,
triple-004,570,OAuth2,METHOD,APPLIED_TO,distributed API gateways,CONCEPT,2022,0.9,This paper explores the implementation of OAuth2 and JWT (JSON Web Tokens) protocols as fundamental components in securing distributed API gateways.,unique_normalized_exact_quote_match,e491ab3ee15771ae6bd5a827a7b8b0cf3230f7b0,0,Applying OAuth2 and JWT Protocols in Securing Distributed API Gateways: Best Practices and Case Review,abstract,"The security of distributed systems, particularly in cloud-based environments and microservices architectures, is paramount as organizations increasingly rely on these systems for scalable and efficient operations. This paper explores the implementation of OAuth2 and JWT (JSON Web Tokens) protocols as fundamental components in securing distributed API gateways. OAuth2 offers a robust framework for authorization by decoupling user authentication from application logic, while JWT provides a lightweight and secure method of transmitting authentication information across services. The paper discusses the core components of OAuth2 and JWT, their roles in API security, and the implementation best practices that ensure secure token management, scalability, and fault tolerance. Case studies from cloud-based systems and microservices architectures illustrate real-world applications, highlighting both successes and challenges encountered during deployment. Key findings indicate that while OAuth2 and JWT significantly improve security, challenges such as token expiration management and service-to-service token validation persist. Finally, the paper identifies areas for future research, particularly in the development of enhanced token revocation mechanisms and the adaptation of OAuth2 and JWT for emerging technologies like serverless architectures. The study underscores the importance of these protocols in the evolving landscape of secure API gateway management and their potential to drive secure, scalable digital transformation.",,,,,,,,,
triple-005,615,REST API,METHOD,ADDRESSES,communication between microservices and the monolith,CONCEPT,2024,0.9,Communication between microservices and the monolith is facilitated through a REST API,unique_normalized_exact_quote_match,39acaaaf4129b1870396b3bcda609c74c034292f,0,SOFTWARE MIGRATION FROM MONOLITHIC ARCHITECTURE TO MICROSERVICES ARCHITECTURE AS A WAY OF PROTECTING CRM SYSTEMS,abstract,"The study of this work was focused on the process of protecting CRM systems in the conditions of the transition of software, which is the main part of CRM systems from a monolithic architecture to an architecture based on microservices. This article explores a migration strategy using the Strangler Fig pattern that facilitates the incremental adoption of microservices while maintaining compatibility with the existing monolith. A key aspect of a migration strategy is choosing a framework, such as the Framework for Microservices Migrations (FMM), that standardizes development practices and helps decompose monoliths into manageable components. Communication between microservices and the monolith is facilitated through a REST API that ensures seamless interaction. The integration of microservices is achieved through the implementation of DTOs (Data Transfer Objects) and API gateways, which ensures smooth data exchange between components. The article emphasizes the importance of dependency and configuration management in microservices, emphasizing the need for encapsulation and autonomy. In addition, the research examines the use of Curcuit Breaker patterns to effectively handle failures and maintain system stability during the migration process. Microservices, implemented as APIs, demand robust authentication methods such as cryptographic API keys and tokens. Security Assertion Markup Language (SAML) or OpenID with OAuth 2.0 are suggested solutions to enhance data security. Centralized architecture for authorization policies is crucial to regulate access across all microservices, while standardized token-based authentication ensures platform-neutral interoperability. However, decentralized authorization enforcement at each microservice entry point may lead to inconsistent security policies. Moreover, access to APIs handling confidential data necessitates authentication tokens with digital signatures or from trusted sources. Access control policies should be meticulously defined and enforced, with considerations for token expiration and scope limitations. The abstract underscores the significance of centralized access management and the challenges posed by anonymous connections bypassing API gateways.",,,,,,,,,
triple-006,765,KubeEdge,TOOL,EXTENDS,analytics and enforcement capabilities,CONCEPT,2025,0.9,while KubeEdge extends analytics and enforcement capabilities to the edge,unique_normalized_exact_quote_match,05c26ba2473e432f3db292954fc38dfae61d0fcb,0,A Cloud-Edge Microservices Architecture for Smart Healthcare: SDN-Based Medical Asset Management,abstract,"Real-time hospital asset tracking and predictive maintenance are critical for ensuring patient safety, operational efficiency, and cybersecurity in modern healthcare environ-ments. Traditional network architectures often struggle with scalability, security enforcement, and real-time telemetry processing, limiting the effectiveness of medical IoT systems. To address these challenges, this paper presents a novel microservices-based cloud-edge architecture that integrates Software-Defined Networking (SDN), edge-AI, and agents for real-time medical asset tracking, anomaly detection, and adaptive policy enforce-ment. The proposed system leverages SDN for centralized traffic control and dynamic flow reconfiguration, while KubeEdge extends analytics and enforcement capabilities to the edge, ensuring low-latency decision-making and improved telemetry accuracy. Telemetry collector and security enforcement agents, deployed as Kubernetes DaemonSets, continuously monitor medical devices such as ventilators, infusion pumps, and ECG monitors. Real-time inference is powered by Autoencoder-based models, which detect anomalies with 94.5% accuracy at an average latency of 35.2 ms. Open vSwitch (OVS), integrated with Calico networking, enables programmable flow control and security isolation, achieving 99.2% policy enforcement success and reducing unauthorized access attempts by 72%. The network was deployed and validated on a three-node Kuber-netes cluster, demonstrating quantifiable improvements in fault detection, packet loss reduction, and resource responsiveness. These results position the proposed architecture as a scalable, secure, and measurement-aware framework for advancing next-generation healthcare instrumentation and intelligent telemetry systems.",,,,,,,,,
triple-007,349,microservice security agent,METHOD,EVALUATES_ON,round trip time (RTT),METRIC,2019,0.95,the usability of the proposed approach is demonstrated by evaluating the round trip time (RTT).,unique_normalized_exact_quote_match,ed9771ad472ea1c2a7b493c7dd50358fbe759483,0,Microservice Security Agent Based On API Gateway in Edge Computing,abstract,"Internet of Things (IoT) devices are embedded with software, electronics, and sensors, and feature connectivity with constrained resources. They require the edge computing paradigm, with modular characteristics relying on microservices, to provide an extensible and lightweight computing framework at the edge of the network. Edge computing can relieve the burden of centralized cloud computing by performing certain operations, such as data storage and task computation, at the edge of the network. Despite the benefits of edge computing, it can lead to many challenges in terms of security and privacy issues. Thus, services that protect privacy and secure data are essential functions in edge computing. For example, the end user’s ownership and privacy information and control are separated, which can easily lead to data leakage, unauthorized data manipulation, and other data security concerns. Thus, the confidentiality and integrity of the data cannot be guaranteed and, so, more secure authentication and access mechanisms are required to ensure that the microservices are exposed only to authorized users. In this paper, we propose a microservice security agent to integrate the edge computing platform with the API gateway technology for presenting a secure authentication mechanism. The aim of this platform is to afford edge computing clients a practical application which provides user authentication and allows JSON Web Token (JWT)-based secure access to the services of edge computing. To integrate the edge computing platform with the API gateway, we implement a microservice security agent based on the open-source Kong in the EdgeX Foundry framework. Also to provide an easy-to-use approach with Kong, we implement REST APIs for generating new consumers, registering services, configuring access controls. Finally, the usability of the proposed approach is demonstrated by evaluating the round trip time (RTT). The results demonstrate the efficiency of the system and its suitability for real-world applications.",,,,,,,,,
triple-008,316,ImmuCheck,TOOL,EVALUATES_ON,12 escape scenarios,DATASET,2026,0.95,We evaluate our approach across 12 escape scenarios spanning five microservices-based applications,unique_normalized_exact_quote_match,1a2d7a592bf53c73a4733c3242727a44625e5145,0,ImmuCheck: Selective Immutability for Container Escape Detection in Containerized Microservices,abstract,"Container escape attacks break isolation boundaries, granting threat actors code execution on the underlying host and potentially full control over the entire cluster. Existing runtime defenses exhibit an inherent trade-off. Anomaly- and provenance-based detection mechanisms achieve broad escape detection, yet incur substantial operational costs due to model retraining requirements or system-wide provenance capture. In contrast, industry rule-based detectors avoid these costs but offer limited detection coverage. We introduce a container escape detection approach that breaks this trade-off, offering broad detection coverage without operational costs. Our key insight is that container escape attacks commonly involve filesystem writes, violating the immutable state expected in microservices. While enforcing strict immutability can expose such behavior, microservices sometimes perform legitimate writes for ephemeral operations (e.g., logging), making blanket immutability impractical. Our system, ImmuCheck, instead applies selective immutability, automatically inferring legitimate write regions during initialization and flagging subsequent writes outside these regions as potential escape attempts. We evaluate our approach across 12 escape scenarios spanning five microservices-based applications from major cloud providers. ImmuCheck achieves 99.22% precision and 100% recall, with low overhead, no retraining requirements, and timely detection.",,,,,,,,,
triple-009,705,full-stack security gateway framework,METHOD,USES,Envoy Gateway,TOOL,2025,0.9,The system integrates Envoy Gateway and the OPA (Open Policy Agent) policy engine,unique_normalized_exact_quote_match,31ff7c5ddf7b69e24f223286f510e9f5c0a26f20,0,Research on API Security Gateway and Data Access Control Model for Multi-tenant Full-stack Systems,abstract,"To address API abuse and unauthorized data access in multi-tenant systems, this paper proposes a full-stack security gateway framework based on zero-trust access and policy verification. The system integrates Envoy Gateway and the OPA (Open Policy Agent) policy engine at the API ingress layer, combining the OAuth 2.1 authorization protocol with JWT token authentication to achieve fine-grained tenant identity management. To support dynamic resource access, a policy inheritance mechanism based on GraphQL Schema injection is designed, enabling millisecond-level data access permission validation. Experiments demonstrate that under million-request-level testing, the model achieves an average authentication latency of 74.2 ms, with a 28% increase in security event detection rate and a false positive rate reduced to 1.9%. This research provides a highly scalable, auditable security baseline architecture for data security governance in multi-tenant web platforms.",,,,,,,,,
triple-010,61,microservice architecture,METHOD,USES,REST API,TOOL,2022,0.9,"microservice architecture, which is a small or even an independent microprocess that interacts, acts, and responds to messages via lightweight technologies such as Thrift, HTTP, or REST API",unique_normalized_exact_quote_match,6e6effb33ae9f75c9f92a5349b2bf897163b794c,0,"Security, Privacy and Challenges in Microservices Architecture and Cloud Computing- Survey",abstract,"Security issues in processor architectures remain really critical since users and devices continue to share computing as well as networking resources. So, preserving data privacy in such an environment is really a critical concern. We know that there is a continuous growth in security and privacy issues that need to be addressed. Here, we have chosen a microservice architecture, which is a small or even an independent microprocess that interacts, acts, and responds to messages via lightweight technologies such as Thrift, HTTP, or REST API.",,,,,,,,,
