item_id,subject,relation,object,year,confidence,is_factually_supported,is_correctly_typed,comments
triple-000,Systematic Review,APPLIED_TO,authentication and authorisation in CI/CD workflows,2025,0.95,,,
triple-001,two layered policy-driven security mechanism,PRODUCES,blocking unauthorized access,2025,0.9,,,
triple-002,Catalog of 28 microservices security practices,ADDRESSES,securing microservices,2021,0.9,,,
triple-003,proposed architecture,USES,GNS3 software,2022,0.95,,,
triple-004,End-to-end security pattern for IAM domain,COMBINES,External Secrets Operator,2026,0.9,,,
triple-005,Zero,COMBINES,adaptive risk scoring,2026,0.95,,,
triple-006,Istio,USES,mutual TLS,2025,0.95,,,
triple-007,comparative analysis,APPLIED_TO,microservices,2024,0.85,,,
triple-008,specification-based error detection mechanism,ADDRESSES,security state errors,2022,0.85,,,
triple-009,machine-learning-based intrusion detection,LACKS,improved data processing and representation,2023,0.8,,,
triple-010,hybrid approach,ADDRESSES,classification ambiguities,2025,0.85,,,
triple-011,proposed framework,ADDRESSES,overhead of the cluster nodes,2022,0.9,,,
triple-012,container security framework,EVALUATES_ON,XXXX,2025,0.85,,,
triple-013,threat modeling,APPLIED_TO,DevOps environment,2023,0.9,,,
triple-014,Zero-Trust Agent Gateway,EVALUATES_ON,production-representative service mesh,2024,0.9,,,
triple-015,MediTrustNet,USES,BLEU,2026,0.95,,,
triple-016,standardized taxonomy in microservice security,ADDRESSES,inconsistencies in the literature,2024,0.95,,,
triple-017,Systematic Review,APPLIED_TO,securing microservices,2024,0.9,,,
triple-018,monolithic applications,LACKS,flexibility,2022,0.85,,,
triple-019,intrusion detection models,EVALUATES_ON,datasets generated in a representative system,2024,0.95,,,
triple-020,automated security testing,APPLIED_TO,securing microservices,2025,0.9,,,
triple-021,dynamic access control model,ADDRESSES,security access control issues,2023,0.95,,,
triple-022,DTOs (Data Transfer Objects),IMPROVES,data exchange between components,2024,0.85,,,
triple-023,KubeHound,USES,analysis techniques,2023,0.85,,,
triple-024,JWT,IMPROVES,security,2022,0.95,,,
triple-025,Keycloak-based Role-Based Access Control (RBAC) implementation,ADDRESSES,unauthorized access and privilege escalation,2025,0.85,,,
triple-026,mixture of experts,ADDRESSES,network covert channels,2024,0.85,,,
triple-027,AZTEM,USES,LSTM-based sequence classifiers,2025,0.9,,,
triple-028,unsupervised anomaly-detection method based on system calls,USES,Syscall2vec,2025,0.98,,,
triple-029,knowledge distillation,IMPROVES,inference latency,2025,0.95,,,
triple-030,Microservice Security Analysis,USES,security patterns,2025,0.9,,,
triple-031,layered security model,COMBINES,Role-Based Access Control,2026,0.9,,,
triple-032,Zero-Trust Agent Gateway,ADDRESSES,principal threat classes identified by NIST SP 800-207,2024,0.9,,,
triple-033,zero trust,USES,Azure Active Directory,2023,0.95,,,
triple-034,refactoring,ADDRESSES,security smells,2021,0.92,,,
triple-035,ChronosGuard,ADDRESSES,intrusion detection,2024,0.9,,,
triple-036,security policy framework,USES,Private Data Objects,2021,0.95,,,
triple-037,Microservices framework,USES,Spring Boot,2025,0.95,,,
triple-038,microservice security agent,ADDRESSES,secure authentication mechanism,2019,0.9,,,
triple-039,Systematic Review,USES,McCumber Cube,2021,0.9,,,
triple-040,anomaly-based approaches,ADDRESSES,zero-days,2024,0.9,,,
triple-041,machine learning,IMPROVES,threat detection accuracy,2025,0.95,,,
triple-042,Kubernetes,USES,Calico CNI,2026,0.95,,,
triple-043,proposed framework,EVALUATES_ON,microservices,2022,0.9,,,
triple-044,Context-Aware Policy Engines,USES,Real-Time Telemetry,2025,0.9,,,
triple-045,zero trust,USES,Spring Boot security components,2025,0.9,,,
triple-046,Artificial Intelligence Intrusion Detection System,ADDRESSES,security challenges in cloud-native environments,2025,0.95,,,
triple-047,Microservices framework,APPLIED_TO,IoT Systems,2024,0.95,,,
triple-048,Security Assertion Markup Language (SAML),IMPROVES,data security,2024,0.95,,,
triple-049,zero trust,ADDRESSES,multi-tenant Software-as-a-Service systems,2026,0.95,,,
